Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,2.872500,3.229167,2.281667,3.032500,2.423025,2149171200
2009-01-01,3.090000,3.508333,2.125000,2.293333,1.835615,3150088800
2009-02-01,2.187500,2.730000,1.574167,1.586667,1.269990,4297641600
2009-03-01,1.492500,2.185000,1.166667,1.885000,1.508780,7163930400
2009-04-01,1.820833,2.620833,1.804167,2.473333,1.986178,4964439600
2009-05-01,2.486667,2.980000,2.424167,2.860833,2.297355,4001863200
2009-06-01,2.980000,3.209167,2.543333,2.830000,2.272594,3751129200
2009-07-01,2.864167,3.570000,2.370000,3.463333,2.791217,3114702000
2009-08-01,3.575000,4.049167,3.379167,3.828333,3.085382,2417404800
2009-09-01,3.770833,4.575833,3.510000,4.254167,3.428576,1840644000
2009-10-01,4.220833,4.808333,3.810833,3.924167,3.169546,1958238000
2009-11-01,3.979167,4.905000,3.855000,4.100833,3.312240,1675788000
2009-12-01,4.220000,4.580833,4.014167,4.375833,4.002501,1016917200
2010-01-01,4.490833,4.834167,3.873333,3.885000,3.558980,1285686000
2010-02-01,3.975000,4.360000,3.565000,4.250000,3.893349,1477447200
2010-03-01,4.312500,5.098333,4.305833,4.960000,4.543768,1016156400
2010-04-01,5.055833,5.675000,4.975833,5.210000,4.885489,1049462400
2010-05-01,5.275833,5.445833,3.422500,3.965000,3.718034,1672417200
2010-06-01,3.839167,4.370000,3.243333,3.258333,3.055383,1334606400
2010-07-01,3.269167,4.179167,3.069167,3.950000,3.708210,1084042800
2010-08-01,4.134167,4.259167,3.304167,3.427500,3.217693,921310800
2010-09-01,3.550833,4.580833,3.543333,4.395833,4.126751,716317200
2010-10-01,4.487500,5.049167,4.279167,4.913333,4.621552,530877600
2010-11-01,4.980833,5.480000,4.784167,4.912500,4.620767,424884000
2010-12-01,5.122500,6.008333,5.122500,5.958333,5.604494,247083600
2011-01-01,6.082500,6.602500,5.985000,6.348333,5.971333,248073600
2011-02-01,6.466667,7.288333,6.459167,7.012500,6.596058,236655600
2011-03-01,7.083333,7.095833,5.820000,6.987500,6.572543,437520000
2011-04-01,7.111667,7.616667,6.490000,7.600833,7.149453,245343600
2011-05-01,7.705833,7.720833,6.747500,7.316667,6.882162,295820400
2011-06-01,7.258333,7.269167,5.935833,6.874167,6.465940,334798800
2011-07-01,6.885000,7.475000,6.221667,6.392500,6.012877,375048000
2011-08-01,6.621667,6.825833,3.781667,4.994167,4.697585,1243596000
2011-09-01,4.990833,5.129167,3.713333,3.864167,3.634691,996860400
2011-10-01,3.792500,5.686667,3.270000,5.168333,4.861408,754209600
2011-11-01,4.745000,5.464167,4.035000,4.978333,4.682691,598969200
2011-12-01,4.955000,5.248333,4.440833,5.070000,4.768914,517988400
2012-01-01,5.333333,6.114167,5.147500,5.823333,5.477510,315596400
2012-02-01,5.954167,6.786667,5.941667,6.580833,6.190026,247516800
2012-03-01,6.659167,7.366667,6.208333,7.181667,6.755179,216315600
2012-04-01,7.181667,7.414167,6.419167,7.006667,6.590571,244904400
2012-05-01,7.019167,7.289167,5.511667,5.762500,5.420290,263841600
2012-06-01,5.479167,6.407500,5.166667,6.347500,5.970550,240498000
2012-07-01,6.404167,6.764167,5.860000,6.545833,6.157104,157504800
2012-08-01,6.670833,7.301667,6.235833,6.983333,6.568623,199569600
2012-09-01,6.988333,8.069167,6.849167,7.518333,7.071851,177316800
